credit_score,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,geography_germany,geography_spain,gender_male,low_engagement,inactive_with_products,activity_score,low_balance_ratio,high_salary_low_balance,poor_credit_for_age,stagnant_relationship,dormant_client,products_per_year,high_churn_risk,disengaged_client,young_inactive,senior_inactive,valuable_but_disengaged,value_engagement_ratio,age_tenure_interaction,balance_activity_interaction,salary_products_interaction,tenure_squared,age_cubed
829,27,9,112045.67,1,1,1,119708.21,1,1.0,0.0,0.0,0,0,2.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,98.61867234042553,243,252102.7575,119708.21,81,19683
637,39,9,137843.8,1,1,1,117622.8,1,1.0,0.0,0.0,0,0,2.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,108.70919148936169,351,310148.55,117622.8,81,59319
550,38,3,103391.38,1,0,1,90878.13,0,1.0,0.0,1.0,0,0,1.25,0,0,1,1,0,0.3225806451612903,0,0,0,0,0,143.90334074074076,114,129239.225,90878.13,9,54872
776,37,2,103769.22,2,1,0,194099.12,0,1.0,0.0,0.0,0,1,1.5,0,0,0,0,1,0.9523809523809523,0,0,0,0,0,186.1677125,74,155653.83000000002,388198.24,4,50653
698,44,10,116363.37,2,1,0,198059.16,0,1.0,0.0,1.0,0,1,1.5,0,0,0,0,1,0.19801980198019803,0,0,0,0,0,196.51408125,440,174545.055,396118.32,100,85184
585,36,6,146050.97,2,0,0,86424.57,0,1.0,0.0,1.0,0,1,0.5,0,0,1,0,0,0.3278688524590164,0,1,0,0,0,387.4592333333334,216,73025.485,172849.14,36,46656
788,33,5,0.0,2,0,0,116978.19,0,0.0,0.0,0.0,0,1,0.5,1,0,0,0,0,0.3921568627450981,0,1,0,0,0,194.96365,165,0.0,233956.38,25,35937
655,41,3,125561.97,1,0,0,164040.94,1,1.0,0.0,1.0,1,0,0.25,0,0,0,1,0,0.3225806451612903,0,1,0,0,0,827.4368857142858,123,31390.4925,164040.94,9,68921
601,42,1,98495.72,1,1,0,40014.76,1,1.0,0.0,1.0,1,0,1.25,0,0,0,0,1,0.9090909090909091,0,0,0,0,0,102.60035555555557,42,123119.65,40014.76,1,74088
619,43,1,125211.92,1,1,1,113410.49,0,0.0,0.0,1.0,0,0,2.25,0,0,0,0,0,0.9090909090909091,0,0,0,0,0,101.54145106382978,43,281726.82,113410.49,1,79507
656,45,5,127864.4,1,1,0,87107.57,0,0.0,0.0,1.0,1,0,1.25,0,0,0,1,1,0.19607843137254904,0,0,0,0,0,159.2384962962963,225,159830.5,87107.57,25,91125
725,19,0,75888.2,1,0,0,45613.75,0,1.0,0.0,1.0,1,0,0.25,0,0,0,0,0,10.0,1,0,1,0,0,347.14842857142855,0,18972.05,45613.75,0,6859
511,66,4,0.0,1,1,0,1643.11,1,0.0,1.0,0.0,1,0,1.25,1,0,1,1,1,0.24390243902439027,1,0,0,1,0,1.2171185185185185,264,0.0,1643.11,16,287496
614,51,4,40685.92,1,1,1,46775.28,0,0.0,0.0,1.0,0,0,2.25,0,0,0,1,0,0.24390243902439027,0,0,0,0,0,37.21753191489361,204,91543.31999999999,46775.28,16,132651
742,35,5,136857.0,1,0,0,84509.57,0,1.0,0.0,1.0,1,0,0.25,0,0,0,1,0,0.19607843137254904,0,1,0,0,0,632.4759142857143,175,34214.25,84509.57,25,42875
687,27,9,152328.88,2,0,0,126494.82,0,1.0,0.0,0.0,0,1,0.5,0,0,0,0,0,0.21978021978021978,0,1,1,0,1,464.70616666666666,243,76164.44,252989.64,81,19683
555,33,1,56084.69,2,0,0,178798.13,0,0.0,1.0,1.0,0,1,0.5,0,1,1,0,0,1.8181818181818181,0,0,0,0,0,391.47136666666665,33,28042.345,357596.26,1,35937
684,56,8,78707.16,1,1,1,99398.36,0,0.0,1.0,1.0,0,0,2.25,0,0,0,1,0,0.1234567901234568,0,0,0,0,0,75.78958297872342,448,177091.11000000002,99398.36,64,175616
603,26,4,109166.37,1,1,1,92840.67,0,1.0,0.0,1.0,0,0,2.25,0,0,0,1,0,0.24390243902439027,0,0,0,0,0,85.96044255319148,104,245624.3325,92840.67,16,17576
751,36,6,169831.46,2,1,1,27758.36,0,1.0,0.0,0.0,0,0,2.5,0,0,0,0,0,0.3278688524590164,0,0,0,0,0,75.99608461538462,216,424578.64999999997,55516.72,36,46656
581,34,1,101633.04,1,1,0,110431.51,0,1.0,0.0,0.0,1,0,1.25,0,0,1,0,1,0.9090909090909091,0,0,0,0,0,157.08485185185185,34,127041.29999999999,110431.51,1,39304
735,43,10,123180.01,2,1,1,196673.28,0,1.0,0.0,1.0,0,0,2.5,0,0,0,0,0,0.19801980198019803,0,0,0,0,0,123.02049615384614,430,307950.02499999997,393346.56,100,79507
661,35,5,150725.53,2,0,1,113656.85,0,1.0,0.0,0.0,0,0,1.5,0,0,0,0,0,0.3921568627450981,0,0,0,0,0,165.2389875,175,226088.29499999998,227313.7,25,42875
675,21,8,98373.26,1,1,0,18203.0,0,0.0,0.0,0.0,1,0,1.25,0,0,0,1,1,0.1234567901234568,0,0,1,0,0,86.35278518518518,168,122966.575,18203.0,64,9261
738,58,2,133745.44,4,1,0,28373.86,1,1.0,0.0,1.0,0,1,2.0,0,0,0,0,1,1.9047619047619047,0,0,0,0,0,77.19966666666666,116,267490.88,113495.44,4,195112
813,29,6,0.0,1,1,0,33953.87,0,0.0,0.0,1.0,1,0,1.25,1,0,0,1,1,0.1639344262295082,1,0,1,0,0,25.15101481481482,174,0.0,33953.87,36,24389
657,37,0,163607.18,1,0,1,44203.55,0,0.0,1.0,0.0,0,0,1.25,0,0,0,0,0,10.0,0,0,0,0,0,153.93387407407405,0,204508.97499999998,44203.55,0,50653
604,25,5,157780.84,2,1,1,58426.81,0,1.0,0.0,0.0,0,0,2.5,0,0,0,0,0,0.3921568627450981,0,0,0,0,0,83.15678846153845,125,394452.1,116853.62,25,15625
519,36,9,0.0,2,0,1,145562.4,0,0.0,0.0,1.0,0,0,1.5,1,0,1,0,0,0.21978021978021978,0,0,0,0,0,90.9765,324,0.0,291124.8,81,46656
735,21,1,178718.19,2,1,0,22388.0,0,0.0,0.0,0.0,0,1,1.5,0,0,0,0,1,1.8181818181818181,0,0,1,0,0,125.69136875,21,268077.28500000003,44776.0,1,9261
664,55,8,0.0,2,1,1,139161.64,0,0.0,0.0,1.0,0,0,2.5,1,0,0,0,0,0.2469135802469136,0,0,0,0,0,53.523707692307696,440,0.0,278323.28,64,166375
678,32,9,0.0,1,1,1,148210.64,0,0.0,0.0,0.0,0,0,2.25,1,0,0,1,0,0.10989010989010989,0,0,0,0,0,63.06835744680852,288,0.0,148210.64,81,32768
757,33,5,77253.22,1,0,1,194239.63,0,0.0,1.0,1.0,0,0,1.25,0,1,0,1,0,0.19607843137254904,0,0,0,0,0,201.1058148148148,165,96566.525,194239.63,25,35937
416,41,10,122189.66,2,1,0,98301.61,0,1.0,0.0,0.0,0,1,1.5,0,0,1,0,1,0.19801980198019803,0,0,0,0,0,137.80704375000002,410,183284.49,196603.22,100,68921
665,34,1,96645.54,2,0,0,171413.66,0,0.0,0.0,0.0,0,1,0.5,0,1,0,0,0,1.8181818181818181,0,0,0,0,0,446.76533333333333,34,48322.77,342827.32,1,39304
777,32,2,0.0,1,1,0,136458.19,1,0.0,0.0,0.0,1,0,1.25,1,0,0,0,1,0.47619047619047616,1,0,0,0,0,101.08014074074075,64,0.0,136458.19,4,32768
543,36,7,0.0,2,0,0,26019.59,0,0.0,0.0,0.0,0,1,0.5,1,0,1,0,0,0.28169014084507044,0,1,0,0,0,43.36598333333333,252,0.0,52039.18,49,46656
506,34,4,90307.62,1,1,1,159235.29,0,0.0,0.0,0.0,0,0,2.25,0,1,1,1,0,0.24390243902439027,0,0,0,0,0,106.18847234042553,136,203192.145,159235.29,16,39304
493,46,4,0.0,2,1,0,1907.66,0,0.0,0.0,0.0,0,1,1.5,1,0,1,0,1,0.48780487804878053,0,0,0,0,0,1.1922875,184,0.0,3815.32,16,97336
652,75,3,0.0,2,1,1,114675.75,0,0.0,1.0,0.0,0,0,2.5,1,0,0,0,0,0.6451612903225806,0,0,0,0,0,44.106057692307694,225,0.0,229351.5,9,421875
750,22,3,121681.82,1,1,0,128643.35,1,0.0,1.0,1.0,1,0,1.25,0,0,0,1,1,0.3225806451612903,0,0,1,0,0,185.42605185185187,66,152102.27500000002,128643.35,9,10648
729,30,9,0.0,2,1,0,151869.35,0,0.0,0.0,1.0,0,1,1.5,1,1,0,0,1,0.21978021978021978,0,0,0,0,0,94.91834375,270,0.0,303738.7,81,27000
646,46,4,0.0,3,1,0,93251.42,1,0.0,0.0,0.0,0,1,1.75,1,0,0,0,1,0.7317073170731708,0,0,0,0,0,50.406172972972975,184,0.0,279754.26,16,97336
635,28,3,81623.67,2,1,1,156791.36,0,1.0,0.0,0.0,0,0,2.5,0,1,0,0,0,0.6451612903225806,0,0,0,0,0,91.69808846153845,84,204059.175,313582.72,9,21952
647,44,5,0.0,3,1,1,174205.22,1,0.0,1.0,0.0,0,0,2.75,1,1,0,0,0,0.5882352941176471,0,0,0,0,0,61.12463859649123,220,0.0,522615.66000000003,25,85184
808,45,7,118626.55,2,1,0,147132.46,0,0.0,0.0,1.0,0,1,1.5,0,0,0,0,1,0.28169014084507044,0,0,0,0,0,166.09938125,315,177939.825,294264.92,49,91125
524,36,10,0.0,2,1,0,109614.57,0,0.0,0.0,0.0,0,1,1.5,1,0,1,0,1,0.19801980198019803,0,0,0,0,0,68.50910625,360,0.0,219229.14,100,46656
769,29,8,0.0,2,1,1,172290.61,0,0.0,0.0,1.0,0,0,2.5,1,1,0,0,0,0.2469135802469136,0,0,0,0,0,66.26561923076923,232,0.0,344581.22,64,24389
730,42,3,0.0,2,0,1,85982.47,0,0.0,1.0,1.0,0,0,1.5,1,0,0,0,0,0.6451612903225806,0,0,0,0,0,53.73904375,126,0.0,171964.94,9,74088
515,35,10,176273.95,1,0,1,121277.78,0,0.0,1.0,1.0,0,0,1.25,0,0,1,1,0,0.09900990099009901,0,0,0,0,0,220.40868888888886,350,220342.4375,121277.78,100,42875
773,41,9,102827.44,1,0,1,64595.25,0,0.0,1.0,1.0,0,0,1.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,124.01680740740741,369,128534.3,64595.25,81,68921
814,29,8,97086.4,2,1,1,197276.13,0,1.0,0.0,1.0,0,0,2.5,0,1,0,0,0,0.2469135802469136,0,0,0,0,0,113.2163576923077,232,242716.0,394552.26,64,24389
710,22,8,0.0,2,0,0,99645.04,0,0.0,1.0,1.0,0,1,0.5,1,0,0,0,0,0.2469135802469136,0,1,1,0,0,166.07506666666666,176,0.0,199290.08,64,10648
413,34,5,0.0,2,0,0,6534.18,0,0.0,0.0,1.0,0,1,0.5,1,0,1,0,0,0.3921568627450981,0,1,0,0,0,10.8903,170,0.0,13068.36,25,39304
665,40,6,0.0,1,1,1,161848.03,0,0.0,0.0,0.0,0,0,2.25,1,1,0,1,0,0.1639344262295082,0,0,0,0,0,68.87150212765957,240,0.0,161848.03,36,64000
623,44,6,0.0,2,0,0,167162.43,0,0.0,0.0,0.0,0,1,0.5,1,1,0,0,0,0.3278688524590164,0,1,0,0,0,278.60405,264,0.0,334324.86,36,85184
738,31,9,82674.15,1,1,0,41970.72,0,0.0,0.0,1.0,1,0,1.25,0,0,0,1,1,0.10989010989010989,1,0,0,0,0,92.32953333333333,279,103342.6875,41970.72,81,29791
528,36,7,0.0,2,1,0,60536.56,0,0.0,1.0,1.0,0,1,1.5,1,0,1,0,1,0.28169014084507044,0,0,0,0,0,37.83535,252,0.0,121073.12,49,46656
670,65,1,0.0,1,1,1,177655.68,1,0.0,1.0,0.0,0,0,2.25,1,1,0,0,0,0.9090909090909091,0,0,0,0,0,75.59816170212765,65,0.0,177655.68,1,274625
622,46,4,107073.27,2,1,1,30984.59,1,0.0,1.0,0.0,0,0,2.5,0,0,0,0,0,0.48780487804878053,0,0,0,0,0,53.09917692307693,184,267683.175,61969.18,16,97336
582,32,1,88938.62,1,1,1,10054.53,0,1.0,0.0,1.0,0,0,2.25,0,0,1,0,0,0.9090909090909091,0,0,0,0,0,42.12474468085106,32,200111.895,10054.53,1,32768
785,36,2,99806.85,1,0,1,36976.52,0,1.0,0.0,0.0,0,0,1.25,0,0,0,0,0,0.47619047619047616,0,0,0,0,0,101.32101481481482,72,124758.5625,36976.52,4,46656
605,33,5,150092.8,1,0,0,71862.79,0,0.0,1.0,1.0,1,0,0.25,0,0,0,1,0,0.19607843137254904,0,1,0,0,0,634.1588285714284,165,37523.2,71862.79,25,35937
479,35,9,92833.89,1,1,0,99449.86,1,1.0,0.0,1.0,1,0,1.25,0,0,1,1,1,0.10989010989010989,1,0,0,0,0,142.4324074074074,315,116042.3625,99449.86,81,42875
685,30,3,90536.81,1,0,1,63082.88,0,1.0,0.0,1.0,0,0,1.25,0,0,0,1,0,0.3225806451612903,0,0,0,0,0,113.79236296296297,90,113171.0125,63082.88,9,27000
538,39,6,108055.1,2,1,0,27231.26,0,1.0,0.0,1.0,0,1,1.5,0,0,1,0,1,0.3278688524590164,0,0,0,0,0,84.55397500000001,234,162082.65000000002,54462.52,36,59319
562,42,2,100238.35,1,0,0,86797.41,0,0.0,0.0,1.0,1,0,0.25,0,0,1,0,0,0.47619047619047616,0,1,0,0,0,534.3878857142857,84,25059.5875,86797.41,4,74088
675,36,9,106190.55,1,0,1,22994.32,0,0.0,1.0,1.0,0,0,1.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,95.6924962962963,324,132738.1875,22994.32,81,46656
721,28,9,154475.54,2,0,1,101300.94,1,1.0,0.0,1.0,0,0,1.5,0,0,0,0,0,0.21978021978021978,0,0,0,0,0,159.8603,252,231713.31,202601.88,81,21952
628,30,9,132351.29,2,1,1,74169.13,0,1.0,0.0,0.0,0,0,2.5,0,0,0,0,0,0.21978021978021978,0,0,0,0,0,79.43093076923077,270,330878.22500000003,148338.26,81,27000
668,37,6,167864.4,1,1,0,115638.29,0,1.0,0.0,0.0,1,0,1.25,0,0,0,1,1,0.1639344262295082,0,0,0,0,1,210.0019925925926,222,209830.5,115638.29,36,50653
506,41,1,0.0,2,1,0,31766.3,0,0.0,0.0,0.0,0,1,1.5,1,0,1,0,1,1.8181818181818181,0,0,0,0,0,19.8539375,41,0.0,63532.6,1,68921
524,31,8,107818.63,1,1,0,199725.39,1,1.0,0.0,0.0,1,0,1.25,0,0,1,1,1,0.1234567901234568,0,0,0,0,0,227.8103851851852,248,134773.2875,199725.39,64,29791
699,34,4,185173.81,2,1,0,120834.48,0,1.0,0.0,1.0,0,1,1.5,0,0,0,0,1,0.48780487804878053,0,0,0,0,1,191.25518125,136,277760.71499999997,241668.96,16,39304
828,34,8,129433.34,2,0,0,38131.77,0,0.0,0.0,1.0,0,1,0.5,0,0,0,0,0,0.2469135802469136,0,1,0,0,0,279.2751833333333,272,64716.67,76263.54,64,39304
674,39,6,120193.42,1,0,0,100130.95,0,0.0,1.0,1.0,1,0,0.25,0,0,0,1,0,0.1639344262295082,0,1,0,0,0,629.4982,234,30048.355,100130.95,36,59319
656,39,6,0.0,2,1,0,141069.88,0,0.0,0.0,0.0,0,1,1.5,1,0,0,0,1,0.3278688524590164,0,0,0,0,0,88.16867500000001,234,0.0,282139.76,36,59319
684,48,5,126384.42,1,1,1,198129.36,0,1.0,0.0,0.0,0,0,2.25,0,0,0,1,0,0.19607843137254904,0,0,0,0,0,138.09097021276594,240,284364.945,198129.36,25,110592
625,28,3,0.0,1,0,0,183646.41,0,0.0,0.0,0.0,1,0,0.25,1,1,0,1,0,0.3225806451612903,1,1,1,0,0,524.7040285714286,84,0.0,183646.41,9,21952
432,42,4,152603.45,1,1,0,110265.24,1,0.0,0.0,1.0,1,0,1.25,0,0,1,1,1,0.24390243902439027,0,0,0,0,1,194.71754814814815,168,190754.3125,110265.24,16,74088
549,52,1,0.0,1,0,1,8636.05,1,0.0,0.0,0.0,0,0,1.25,1,0,1,0,0,0.9090909090909091,0,0,0,0,0,6.397074074074074,52,0.0,8636.05,1,140608
625,56,0,148507.24,1,1,0,46824.08,1,1.0,0.0,1.0,1,0,1.25,0,0,0,0,1,10.0,0,0,0,0,0,144.68986666666666,0,185634.05,46824.08,0,175616
828,41,7,0.0,2,1,0,171378.77,0,0.0,0.0,0.0,0,1,1.5,1,1,0,0,1,0.28169014084507044,0,0,0,0,0,107.11173124999999,287,0.0,342757.54,49,68921
770,24,9,101827.07,1,1,0,167256.35,0,0.0,0.0,1.0,1,0,1.25,0,0,0,1,1,0.10989010989010989,0,0,1,0,0,199.32105185185188,216,127283.83750000001,167256.35,81,13824
758,34,3,0.0,2,1,1,124226.16,0,0.0,0.0,0.0,0,0,2.5,1,0,0,0,0,0.6451612903225806,0,0,0,0,0,47.77929230769231,102,0.0,248452.32,9,39304
795,33,9,130862.43,1,1,1,114935.21,0,1.0,0.0,0.0,0,0,2.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,104.59474042553192,297,294440.46749999997,114935.21,81,35937
687,38,9,122570.87,1,1,1,35608.88,0,0.0,0.0,1.0,0,0,2.25,0,0,0,1,0,0.10989010989010989,0,0,0,0,0,67.31053191489362,342,275784.4575,35608.88,81,54872
686,25,1,0.0,2,0,1,16459.37,0,0.0,0.0,1.0,0,0,1.5,1,0,0,0,0,1.8181818181818181,0,0,0,0,0,10.287106249999999,25,0.0,32918.74,1,15625
789,39,7,124828.46,2,1,1,124411.08,0,1.0,0.0,1.0,0,0,2.5,0,0,0,0,0,0.28169014084507044,0,0,0,0,0,95.86136153846154,273,312071.15,248822.16,49,59319
589,50,5,144895.05,2,1,1,34941.23,0,1.0,0.0,0.0,0,0,2.5,0,0,1,0,0,0.3921568627450981,0,0,0,0,0,69.1678,250,362237.625,69882.46,25,125000
461,34,5,63663.93,1,0,1,167784.28,0,1.0,0.0,0.0,0,0,1.25,0,1,1,1,0,0.19607843137254904,0,0,0,0,0,171.4431185185185,170,79579.9125,167784.28,25,39304
637,40,2,133463.1,1,0,1,93165.34,0,0.0,0.0,1.0,0,0,1.25,0,0,0,0,0,0.47619047619047616,0,0,0,0,0,167.87291851851853,80,166828.875,93165.34,4,64000
584,48,2,213146.2,1,1,0,75161.25,1,0.0,1.0,0.0,1,0,1.25,0,0,1,0,1,0.47619047619047616,0,0,0,0,0,213.56107407407407,96,266432.75,75161.25,4,110592
